word,meaning,example,ipa,level,category
lecture,talk given by a teacher to a class,The lecture on statistics is at ten.,ˈlektʃə,2,academic
semester,half of an academic year,This semester ends next month.,sɪˈmestə,2,academic
assignment,work a teacher asks you to finish,The assignment is due this week.,əˈsaɪnmənt,2,academic
exam,formal test of what you know,My last exam is next week.,ɪɡˈzæm,1,academic
syllabus,list of topics in a course,Check the syllabus before you start reading.,ˈsɪləbəs,3,academic
campus,land and buildings of a college,The library is at the back of campus.,ˈkæmpəs,2,academic
faculty,teachers in a college department,The faculty will post the timetable today.,ˈfækəlti,3,academic
hostel,student housing on or near campus,The hostel mess closes at nine.,ˈhɒstel,2,academic
scholarship,money given to help you study,I applied for a merit scholarship.,ˈskɒləʃɪp,3,academic
thesis,long research paper for a degree,My thesis is on small shop sales.,ˈθiːsɪs,4,academic
tutorial,small class for extra help,The tutorial will cover last week's sums.,tjuːˈtɔːriəl,3,academic
laboratory,room used for scientific tests,We have laboratory work this week.,ləˈbɒrətri,3,academic
experiment,test done to learn something,The experiment failed on the first try.,ɪkˈsperɪmənt,3,academic
hypothesis,idea you test in research,Our hypothesis was only partly right.,haɪˈpɒθəsɪs,4,academic
theory,set of ideas that explain something,This theory is easier with a diagram.,ˈθɪəri,3,academic
study,spend time learning a subject,I study for two hours after class.,ˈstʌdi,1,academic
revise,go over work again before a test,I will revise the formulas tonight.,rɪˈvaɪz,2,academic
teacher,person who helps you learn,My teacher explained the graph twice.,ˈtiːtʃə,1,academic
student,person who is learning,Each student must carry the id card.,ˈstjuːdənt,1,academic
classmate,person in the same class as you,A classmate shared the lecture notes.,ˈklɑːsmeɪt,1,academic
notes,short written points from a class,I missed the notes from yesterday.,nəʊts,1,academic
revision,time spent going over work again,Morning revision helps before the viva.,rɪˈvɪʒən,2,academic
marks,points scored in a test,I need ten more marks to pass.,mɑːks,1,academic
grade,letter or number for your result,A better grade needs more practice tests.,ɡreɪd,1,academic
degree,qualification from a university,I will finish my degree this year.,dɪˈɡriː,2,academic
diploma,course certificate below a degree,I did a diploma in computer skills.,dɪˈpləʊmə,2,academic
bachelor,first university degree,I have a bachelor degree in commerce.,ˈbætʃələ,3,academic
master,higher degree after a bachelor,I plan a master degree after work.,ˈmɑːstə,3,academic
doctorate,highest university research degree,A doctorate takes several years of research.,ˈdɒktərət,4,academic
curriculum,full set of courses in a programme,The new curriculum includes spoken practice.,kəˈrɪkjələm,4,academic
module,one unit inside a larger course,This module has two internal tests.,ˈmɒdjuːl,3,academic
credit,point you earn for finishing a course,I still need four credits this year.,ˈkredɪt,3,academic
attendance,record of being present in class,Seventy five percent attendance is required.,əˈtendəns,2,academic
