word,meaning,example,ipa,level,category
strength,quality you do especially well,My strength is staying calm under pressure.,streŋθ,1,interview
weakness,area you still need to improve,My weakness is saying yes to extra work.,ˈwiːknəs,1,interview
achievement,success you worked hard to reach,My biggest achievement was leading a campus project.,əˈtʃiːvmənt,2,interview
accomplishment,result you are proud of,That cost saving was a real accomplishment.,əˈkʌmplɪʃmənt,3,interview
ambition,strong wish to grow in your career,My ambition is to lead a support team.,æmˈbɪʃən,2,interview
background,your education and work history,My background is in commerce and sales.,ˈbækɡraʊnd,2,interview
introduction,short talk about who you are,I practised a one minute introduction.,ˌɪntrəˈdʌkʃən,2,interview
qualification,exam or degree you have earned,This qualification matches the job need.,ˌkwɒlɪfɪˈkeɪʃən,2,interview
certificate,official paper proving a skill,I have a computer certificate from college.,səˈtɪfɪkət,2,interview
graduate,person who finished a college degree,I am a recent graduate in commerce.,ˈɡrædʒuət,2,interview
fresher,person with little job experience,I am a fresher looking for my first role.,ˈfreʃə,2,interview
candidate,person being considered for a job,Each candidate gets thirty minutes with the panel.,ˈkændɪdət,2,interview
recruiter,person who finds people for jobs,The recruiter called me after shortlisting.,rɪˈkruːtə,2,interview
panel,group of people who interview you,The panel asked about my internship.,ˈpænəl,2,interview
vacancy,job that still needs to be filled,Is this vacancy still open this month?,ˈveɪkənsi,2,interview
opening,available job in a company,I saw an opening in the support team.,ˈəʊpənɪŋ,2,interview
apply,send your details for a job,I will apply before the last date.,əˈplaɪ,1,interview
application,form or mail you send to apply,I submitted my application last week.,ˌæplɪˈkeɪʃən,2,interview
shortlist,reduced list of possible hires,I hope they shortlist me for the next round.,ˈʃɔːtlɪst,3,interview
hire,give someone the job,They plan to hire two people this month.,ˈhaɪə,1,interview
salary,money paid for doing the job,The salary is discussed in the last round.,ˈsæləri,1,interview
expectation,what you hope to receive or do,What is your salary expectation for this role?,ˌekspekˈteɪʃən,3,interview
package,total pay and benefits offered,The package includes travel allowance.,ˈpækɪdʒ,2,interview
negotiable,open to discussion and change,The joining date is negotiable by a week.,nɪˈɡəʊʃiəbəl,3,interview
career,long path of jobs you want,I want a career in customer support.,kəˈrɪə,1,interview
growth,getting better and taking more work,I chose this company for learning and growth.,ɡrəʊθ,2,interview
opportunity,useful chance to learn or rise,This role is a good opportunity for me.,ˌɒpəˈtjuːnəti,2,interview
contribution,useful help you gave a team,My contribution was a simple tracking sheet.,ˌkɒntrɪˈbjuːʃən,3,interview
passion,strong interest in the work,I have a passion for helping customers.,ˈpæʃən,2,interview
motivation,reason you want to work hard,My motivation is to support my family.,ˌməʊtɪˈveɪʃən,2,interview
interest,subject you enjoy and follow,I have a strong interest in sales.,ˈɪntrəst,1,interview
hobby,activity you do in free time,Reading is a hobby I still keep.,ˈhɒbi,1,interview
reliability,being someone others can count on,Reliability is important in night shift work.,rɪˌlaɪəˈbɪləti,3,interview
punctual,arriving at the right time,I am punctual even during heavy rain.,ˈpʌŋktʃuəl,2,interview
flexible,ready to change plans when needed,I am flexible with weekend shifts.,ˈfleksəbəl,2,interview
adaptable,able to adjust to new situations,I am adaptable in a fast team.,əˈdæptəbəl,3,interview
honest,telling the truth even when hard,I try to be honest about what I know.,ˈɒnɪst,1,interview
loyal,staying supportive of people and work,I stay loyal to my team during busy weeks.,ˈlɔɪəl,2,interview
dedicated,giving full effort to the job,She is dedicated to finishing every ticket.,ˈdedɪkeɪtɪd,2,interview
committed,firmly ready to do the work,I am committed to a one year stay.,kəˈmɪtɪd,2,interview
enthusiastic,showing energy and interest,He sounded enthusiastic about the product.,ɪnˌθjuːziˈæstɪk,3,interview
confident,sure of your ability to do it,I feel confident about the technical round.,ˈkɒnfɪdənt,2,interview
nervous,feeling worried before speaking,I felt nervous but I still answered clearly.,ˈnɜːvəs,1,interview
prepared,ready with facts and examples,I came prepared with two project stories.,prɪˈpeəd,1,interview
research,careful study before you speak,I did research on your products last night.,rɪˈsɜːtʃ,2,interview
company,business you want to join,Your company is known for fair training.,ˈkʌmpəni,1,interview
role,set of duties in a job,This role matches my support experience.,rəʊl,1,interview
position,the job you are applying for,I am applying for the analyst position.,pəˈzɪʃən,2,interview
duty,task you must take care of,My main duty was answering live chats.,ˈdjuːti,1,interview
teamwork,working well with other people,Teamwork helped us close the busy week.,ˈtiːmwɜːk,2,interview
leadership,guiding others toward a goal,I showed leadership during the college fest.,ˈliːdəʃɪp,3,interview
communication,sharing ideas clearly with others,Clear communication avoids repeat calls.,kəˌmjuːnɪˈkeɪʃən,2,interview
listen,pay attention to what others say,I listen fully before I reply.,ˈlɪsən,1,interview
explain,make your idea easy to follow,Let me explain my project in two minutes.,ɪkˈspleɪn,1,interview
describe,tell what something is like,Please describe a time you helped a customer.,dɪˈskraɪb,1,interview
demonstrate,show how you can do something,I can demonstrate the tool on your sample.,ˈdemənstreɪt,3,interview
illustrate,give an example to make it clear,This story will illustrate how I stay calm.,ˈɪləstreɪt,3,interview
highlight,point out the most important part,Let me highlight two results from that month.,ˈhaɪlaɪt,2,interview
emphasise,give extra importance to a point,I want to emphasise my night shift readiness.,ˈemfəsaɪz,3,interview
mention,speak about something briefly,Did I mention my weekend availability?,ˈmenʃən,1,interview
discuss,talk about a topic with others,Can we discuss the joining date today?,dɪˈskʌs,1,interview
convince,make someone agree with you,I had to convince the team to try a new script.,kənˈvɪns,2,interview
persuade,talk someone into your idea,I persuaded the vendor to deliver earlier.,pəˈsweɪd,3,interview
impress,make a strong good effect,I hope my examples impress the panel.,ɪmˈpres,2,interview
suitable,right for this job,My hours are suitable for rotating shifts.,ˈsuːtəbəl,2,interview
relevant,connected to the job need,This project is relevant to the role.,ˈreləvənt,2,interview
related,connected to the same field,My course is related to this work.,rɪˈleɪtɪd,2,interview
previous,happening in the job before,In my previous internship I handled chats.,ˈpriːviəs,2,interview
current,happening in your job now,My current role is a sales trainee.,ˈkʌrənt,1,interview
former,from a job you had before,My former supervisor can be a reference.,ˈfɔːmə,2,interview
internship,short training job for students,My internship lasted three months.,ˈɪntɜːnʃɪp,2,interview
project,piece of work with a clear goal,I led a college project on customer surveys.,ˈprɒdʒekt,1,interview
volunteer,work given without pay,I volunteer at a local tuition class.,ˌvɒlənˈtɪə,2,interview
freelance,work done for different buyers,I did freelance data entry last year.,ˈfriːlɑːns,3,interview
part-time,job with fewer weekly hours,I had a part-time campus support job.,ˌpɑːt ˈtaɪm,2,interview
